circuit,map,type,direction,city,country,last_length_used,turns,grand_prix,seasons,grand_prix_held,location_track,region
Adelaide Street Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Adelaide_%28long_route%29.svg/150px-Adelaide_%28long_route%29.svg.png,Street circuit,Clockwise,Adelaide,Australia,3.780 km (2.349 mi),16,Australian Grand Prix,1985–1995,11,"[-34.9278984, 138.6150897]",OC
Ain-Diab Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Ain-Diab.svg/150px-Ain-Diab.svg.png,Road circuit,Clockwise,Casablanca,Morocco,7.618 km (4.734 mi),18,Moroccan Grand Prix,1958,1,,AF
Aintree Motor Racing Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Circuit_Aintree.svg/150px-Circuit_Aintree.svg.png,Road circuit,Clockwise,Aintree,United Kingdom,4.828 km (3.000 mi),12,British Grand Prix,"1955, 1957, 1959, 1961–1962",5,"[53.47583535, -2.9336341746]",EU
Albert Park Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Albert_Park_Circuit_2021.svg/150px-Albert_Park_Circuit_2021.svg.png,Street circuit,Clockwise,Melbourne,Australia,5.278 km (3.280 mi),16,Australian Grand Prix,"1996–2019, 2022–2023",26,"[-34.8813374, 138.5190629]",OC
Algarve International Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg/150px-Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg.png,Race circuit,Clockwise,Portimão,Portugal,4.653 km (2.891 mi),15,Portuguese Grand Prix,2020–2021,2,"[37.2303635, -8.627351586]",EU
Autódromo do Estoril,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Aut%C3%B3dromo_de_Estoril_1994-1999.png/150px-Aut%C3%B3dromo_de_Estoril_1994-1999.png,Race circuit,Clockwise,Estoril,Portugal,4.360 km (2.709 mi),13,Portuguese Grand Prix,1984–1996,13,"[38.75027975, -9.3936071862]",EU
Autódromo Hermanos Rodríguez,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg/150px-Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg.png,Race circuit,Clockwise,Mexico City,Mexico,4.304 km (2.674 mi),,"Mexican Grand Prix,Mexico City Grand Prix","1963–1970, 1986–1992, 2015–2019, 2021–2023",23,"[19.4046252, -99.0950913]",NA
Autódromo Internacional do Rio de Janeiro,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Aut%C3%B3dromo_de_Jacarepagu%C3%A1_1978-1995.png/150px-Aut%C3%B3dromo_de_Jacarepagu%C3%A1_1978-1995.png,Race circuit,Anti-clockwise,Rio de Janeiro,Brazil,5.031 km (3.126 mi),,Brazilian Grand Prix,"1978, 1981–1989",10,"[-22.9110137, -43.2093727]",SA
Autodromo Internazionale del Mugello,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Mugello_Racing_Circuit_track_map_15_turns.svg/150px-Mugello_Racing_Circuit_track_map_15_turns.svg.png,Race circuit,Clockwise,Scarperia e San Piero,Italy,5.245 km (3.259 mi),,Tuscan Grand Prix,2020,1,"[43.9993822, 11.3723647068]",EU
Autodromo Internazionale Enzo e Dino Ferrari,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Imola_2009.svg/150px-Imola_2009.svg.png,Race circuit,Anti-clockwise,Imola,Italy,4.909 km (3.050 mi),,"Italian Grand Prix,San Marino Grand Prix,Emilia Romagna Grand Prix","1980–2006, 2020–2022",30,"[44.34103585, 11.7116172812]",EU
Autodromo José Carlos Pace,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_%28AKA_Interlagos%29_track_map.svg/150px-Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_%28AKA_Interlagos%29_track_map.svg.png,Race circuit,Anti-clockwise,São Paulo,Brazil,4.309 km (2.677 mi),,"Brazilian Grand Prix,São Paulo Grand Prix","1973–1977, 1979–1980, 1990–2019, 2021–2023",40,"[-23.70182445, -46.6969157742]",SA
