circuit,map,type,direction,location_track,country,last_length_used,turns,grand_prix,seasons,grand_prix_held
Adelaide Street Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Adelaide_%28long_route%29.svg/150px-Adelaide_%28long_route%29.svg.png,Street circuit,Clockwise,Adelaide,Australia,3.780 km (2.349 mi),16,Australian Grand Prix,1985–1995,11
Ain-Diab Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Ain-Diab.svg/150px-Ain-Diab.svg.png,Road circuit,Clockwise,Casablanca,Morocco,7.618 km (4.734 mi),18,Moroccan Grand Prix,1958,1
Aintree Motor Racing Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Circuit_Aintree.svg/150px-Circuit_Aintree.svg.png,Road circuit,Clockwise,Aintree,United Kingdom,4.828 km (3.000 mi),12,British Grand Prix,"1955, 1957, 1959, 1961–1962",5
Albert Park Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Albert_Park_Circuit_2021.svg/150px-Albert_Park_Circuit_2021.svg.png,Street circuit,Clockwise,Melbourne,Australia,5.278 km (3.280 mi),16,Australian Grand Prix,"1996–2019, 2022–2023",26
Algarve International Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg/150px-Aut%C3%B3dromo_do_Algarve_F1_Sectors.svg.png,Race circuit,Clockwise,Portimão,Portugal,4.653 km (2.891 mi),15,Portuguese Grand Prix,2020–2021,2
Autódromo do Estoril,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Aut%C3%B3dromo_de_Estoril_1994-1999.png/150px-Aut%C3%B3dromo_de_Estoril_1994-1999.png,Race circuit,Clockwise,Estoril,Portugal,4.360 km (2.709 mi),13,Portuguese Grand Prix,1984–1996,13
Autódromo Hermanos Rodríguez,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg/150px-Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez_2015.svg.png,Race circuit,Clockwise,Mexico City,Mexico,4.304 km (2.674 mi),,"Mexican Grand Prix,Mexico City Grand Prix","1963–1970, 1986–1992, 2015–2019, 2021–2023",23
Autódromo Internacional do Rio de Janeiro,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Aut%C3%B3dromo_de_Jacarepagu%C3%A1_1978-1995.png/150px-Aut%C3%B3dromo_de_Jacarepagu%C3%A1_1978-1995.png,Race circuit,Anti-clockwise,Rio de Janeiro,Brazil,5.031 km (3.126 mi),,Brazilian Grand Prix,"1978, 1981–1989",10
Autodromo Internazionale del Mugello,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Mugello_Racing_Circuit_track_map_15_turns.svg/150px-Mugello_Racing_Circuit_track_map_15_turns.svg.png,Race circuit,Clockwise,Scarperia e San Piero,Italy,5.245 km (3.259 mi),,Tuscan Grand Prix,2020,1
Autodromo Internazionale Enzo e Dino Ferrari,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Imola_2009.svg/150px-Imola_2009.svg.png,Race circuit,Anti-clockwise,Imola,Italy,4.909 km (3.050 mi),,"Italian Grand Prix,San Marino Grand Prix,Emilia Romagna Grand Prix","1980–2006, 2020–2022",30
Autodromo José Carlos Pace,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_%28AKA_Interlagos%29_track_map.svg/150px-Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace_%28AKA_Interlagos%29_track_map.svg.png,Race circuit,Anti-clockwise,São Paulo,Brazil,4.309 km (2.677 mi),,"Brazilian Grand Prix,São Paulo Grand Prix","1973–1977, 1979–1980, 1990–2019, 2021–2023",40
Autodromo Nazionale di Monza,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Monza_track_map.svg/150px-Monza_track_map.svg.png,Race circuit,Clockwise,Monza,Italy,5.793 km (3.600 mi),,Italian Grand Prix,"1950–1979, 1981–2023",73
Autódromo Oscar y Juan Gálvez,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez_Circuito_N%C2%B0_6_por_Senna.svg/150px-Aut%C3%B3dromo_Oscar_y_Juan_G%C3%A1lvez_Circuito_N%C2%B0_6_por_Senna.svg.png,Race circuit,Clockwise,Buenos Aires,Argentina,4.259 km (2.646 mi),,Argentine Grand Prix,"1953–1958, 1960, 1972–1975, 1977–1981, 1995–1998",20
AVUS,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Circuit_AVUS.svg/150px-Circuit_AVUS.svg.png,Road circuit,Anti-clockwise,Berlin,Germany,8.300 km (5.157 mi),,German Grand Prix,1959,1
Bahrain International Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Bahrain_International_Circuit--Grand_Prix_Layout.svg/150px-Bahrain_International_Circuit--Grand_Prix_Layout.svg.png,Race circuit,Clockwise,Sakhir,Bahrain,5.412 km (3.363 mi),,"Bahrain Grand Prix,Sakhir Grand Prix","2004–2010, 2012–2024",21
Baku City Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Baku_Formula_One_circuit_map.svg/150px-Baku_Formula_One_circuit_map.svg.png,Street circuit,Anti-clockwise,Baku,Azerbaijan,6.003 km (3.730 mi),,"European Grand Prix,Azerbaijan Grand Prix","2016–2019, 2021–2023",7
Brands Hatch Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Brands_Hatch_1976-1987.svg/150px-Brands_Hatch_1976-1987.svg.png,Race circuit,Clockwise,West Kingsdown,United Kingdom,4.206 km (2.613 mi),,"British Grand Prix,European Grand Prix","1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982–1986",14
